,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
1042,1042,7,4,2,0.08,2,2016,1,0,2,2,1,17.08,18.25,3.85,18.1,20.73,33,115.5,0.0,0,1,1
1043,1043,14,1,3,0.06,1,2017,2,0,3,2,2,13.0,61.11,2.64,26.39,12.6,7,24.5,0.0,1,1,0
1044,1044,7,2,2,0.079,2,2017,3,0,2,2,1,16.37,18.96,4.45,17.08,23.19,33,115.5,0.0,0,1,1
1045,1045,14,1,1,0.06,1,2017,2,0,2,1,2,23.0,18.723333333333333,-0.06,10.27,10.16,7,24.5,0.0,1,2,0
1046,1046,14,1,1,0.06,1,2017,3,0,2,1,1,17.77,18.486666666666668,-0.2,10.8,11.03,7,24.5,1.0,0,2,0
1047,1047,7,4,2,0.08,2,2017,1,0,2,2,1,17.08,18.25,3.85,18.1,20.73,33,115.5,0.0,0,1,1
1048,1048,14,3,2,0.053,1,2017,5,1,1,2,3,6.0,0.0,2.93,22.56,15.6,7,24.5,0.0,1,1,0
1049,1049,14,3,1,0.053,1,2017,2,0,2,1,2,14.35,9.09,-0.14,10.02,10.7,7,24.5,1.0,0,2,0
1050,1050,14,3,3,0.053,1,2017,3,0,2,2,1,6.0,18.18,2.83,26.46,11.7,7,24.5,0.0,1,1,0
1051,1051,14,1,3,0.06,1,2017,7,0,2,2,2,59.0,21.79,4.08,26.84,15.25,7,24.5,0.0,1,1,0
1052,1052,14,1,1,0.06,1,2017,2,0,2,1,2,13.4,32.864999999999995,-0.04,10.96,10.99,7,24.5,1.0,0,2,0
1053,1053,14,3,3,0.053,1,2017,7,0,2,2,2,74.0,43.94,4.13,13.05,20.99,7,24.5,0.0,1,1,0
1054,1054,7,2,2,0.079,2,2016,5,1,1,2,3,3.12,3.41,2.88,18.94,18.48,33,115.5,0.0,0,1,1
1055,1055,14,1,3,0.06,1,2017,2,0,3,2,2,12.0,0.0,2.35,23.37,11.91,7,24.5,0.0,1,1,0
1056,1056,14,3,1,0.053,1,2016,7,0,2,1,2,21.0,0.682,0.06,11.9,11.62,7,24.5,0.0,1,2,0
1057,1057,14,3,4,0.053,1,2017,5,1,1,1,3,45.0,1.364,0.26,5.26,4.86,7,24.5,0.0,1,2,0
1058,1058,14,1,1,0.06,1,2016,4,0,2,1,2,12.84,2.0460000000000003,-0.22,10.45,11.12,7,24.5,1.0,0,2,0
1059,1059,14,1,1,0.06,1,2016,3,0,2,1,1,17.77,2.728,-0.2,10.8,11.03,7,24.5,1.0,0,2,0
1060,1060,7,2,2,0.079,2,2017,5,1,1,2,3,3.12,3.41,2.88,18.94,18.48,23,80.5,1.0,0,1,0
1061,1061,7,4,2,0.08,2,2017,2,0,2,2,2,24.19,42.27,4.97,20.18,20.28,33,115.5,0.0,0,1,1
